,amf_no,amf_ra,amf_dec,amf_z,amf_lk,amf_rh,amf_r200,amf_rc,amf_c,amf_str_rh,bax_id,mcxc_id,red_id,whl_id,amf_glat,amf_glon,noi,sig,sn,pl_sn,drops
40,69,145.7716,46.9973,0.3819,101.1241,129.3833,1.4469999999999998,0.43,3.365,32.0001,ABELL0851,J0943.1+4659,RMJ094257.5+465849.8,J094258.0+465912,48.3107654487347,171.61388452837159,1.2375315918689012e-06,5.599919859378133e-06,6.4779676854152,4.623010718433455,0
70,127,131.5656,5.1311,0.2381,109.8361,112.0321,1.452,0.25,5.81,13.0001,-9999,-9999,RMJ084617.5+050803.8,J084606.5+050725,27.810221035249356,221.94355020782027,1.648352736083325e-06,7.430086043314077e-06,7.459689902972437,5.217993880589356,0
79,146,332.7639,-6.8808,0.3885,89.4793,109.0379,1.3630000000000002,0.29,4.697,86.0001,-9999,-9999,RMJ221059.3-065323.9,J221127.0-065401,-46.93171494835645,53.47958012648796,1.0596253332550987e-06,6.321501132333651e-06,6.6559826457634745,4.730898573189985,0
144,352,206.2713,-2.8085,0.5146,81.2607,88.9829,1.208,0.16699999999999998,7.2379999999999995,9.001,-9999,-9999,RMJ134502.1-024838.0,J134502.1-024838,57.38743771088724,328.3899668114239,1.1630021390374168e-06,7.1755616772861686e-06,6.456105351830769,4.609760819291375,0
166,408,194.1038,4.6735,0.2321,95.4086,85.7323,1.328,0.183,7.269,12.0005,MS1253.9+0456,J1256.4+0440,-9999,J125626.4+044013,67.51389050618174,306.17606094536933,1.0858398127311375e-06,7.250981070683338e-06,6.96612950100569,4.918866364245873,0
189,524,37.2412,47.3961,0.3661,59.9368,80.414,1.234,0.26,4.746,61.0007,-9999,-9999,-9999,J022903.4+472321,-12.304021950007655,139.55139817752217,7.60876218919293e-07,7.691551218158565e-06,6.304652101144376,4.517970970390531,0
197,548,344.5281,20.9151,0.3346,58.0732,79.6351,1.245,0.28,4.447,72.0013,RXJ2258.1+2055,J2258.1+2055,RMJ225807.4+205510.0,J225750.9+205627,-34.67964111313504,90.31166512203929,5.752049787588476e-07,1.0813469998538494e-05,10.536322204156914,7.0826195176708575,0
213,600,194.3532,36.9077,0.5247,72.4217,77.7983,1.148,0.35600000000000004,3.225,25.0013,-9999,-9999,RMJ125725.9+365429.4,J125725.9+365429,80.13931462520118,115.94099091309715,5.219039280746074e-07,5.151493951416342e-06,6.7097845546450845,4.7635057906939915,0
217,632,24.9978,-5.9195,0.4165,69.1461,76.365,1.189,0.18,6.603,85.0016,-9999,-9999,RMJ014000.8-055502.8,J014000.8-055503,-65.84993362012992,153.67654559760484,8.250136147580633e-07,7.936099791550077e-06,7.153006462530757,5.03212512880652,0
225,676,224.9344,56.0133,0.2322,67.5195,74.8588,1.2670000000000001,0.071,17.941,34.0007,-9999,-9999,RMJ145929.7+555648.8,J145929.7+555648,53.09658579165645,93.30464840405274,4.3132388327649096e-07,3.385918489584583e-06,6.739409686661396,4.781460416158422,0
236,731,261.6732,65.6759,0.5085,72.8965,73.2441,1.1320000000000001,0.41,2.758,43.0002,-9999,-9999,-9999,J172651.5+653946,33.229235024654706,95.60075781594858,3.2198360599977605e-07,4.0483496377419215e-06,12.593143045744961,8.329177603481796,0
237,739,230.4133,32.0982,0.11199999999999999,122.4168,73.1091,1.3090000000000002,0.341,3.84,26.0021,-9999,-9999,RMJ152138.4+320712.5,J152138.4+320712,57.14107105110562,50.822469901813314,8.159321964740229e-07,5.822146249556681e-06,6.333340699617669,4.5353579997682845,0
242,768,211.2027,47.0729,0.2691,64.0565,72.1966,1.234,0.16,7.735,30.0008,-9999,-9999,RMJ140451.7+470504.2,J140451.7+470504,65.39826930146246,91.94426949354676,1.1444906249380438e-06,5.0337180255155545e-06,6.3696971337279695,4.557392202259376,0
246,820,347.1362,15.0384,0.2316,51.4637,70.9671,1.242,0.86,1.444,75.0021,-9999,-9999,-9999,-9999,-40.99694993444969,89.19588169265526,7.64352364512888e-07,1.1374530913599301e-05,10.815334484316582,7.2517178692827775,0
249,843,13.1213,22.2624,0.1911,57.6102,70.4064,1.258,0.284,4.431,73.0024,-9999,-9999,RMJ005231.4+221533.2,J005231.4+221533,-40.60869855913201,123.2510963424933,8.704732294972928e-07,8.355754289368633e-06,8.108731473699338,5.61135240830263,0
250,844,190.3878,32.8439,0.3946,68.5625,70.4037,1.165,0.33,3.528,23.0013,RXJ1241.5+3250,J1241.5+3250,RMJ124132.9+325045.7,J124132.9+325046,83.89721147946365,142.85794232470386,7.574394658149686e-07,5.856517418578733e-06,7.399388017909464,5.181447283581494,0
263,924,241.3702,61.0789,0.3965,51.2685,68.9934,1.156,0.589,1.964,39.0007,-9999,-9999,RMJ160515.5+610442.7,J160616.0+610159,43.17660861953313,93.14630020204724,4.0864605921342445e-07,3.5406299048190704e-06,8.081494872857293,5.5948453774892695,0
267,943,160.4378,-2.6351,0.2188,48.0139,68.6211,1.2329999999999999,0.43,2.8680000000000003,9.0025,-9999,-9999,RMJ104143.8-023746.9,J104153.0-023629,46.844750930113676,251.39249617302644,8.753016800255864e-07,5.6221110753540415e-06,6.714589147276317,4.7664176650159495,0
274,1008,114.3456,35.332,0.2092,62.5457,67.7043,1.232,0.39,3.159,37.0012,-9999,-9999,RMJ073720.9+351741.7,J073720.9+351742,24.0970426470717,184.07142947565438,2.097386868626927e-06,8.66925620357506e-06,7.675464052083314,5.348766092171705,0
281,1049,341.2631,26.5911,0.3212,42.3138,67.1819,1.179,0.38,3.103,69.0033,-9999,J2245.0+2637,RMJ224506.1+263553.2,J224504.7+263805,-28.27893050267733,90.7907899745335,1.0150877187697915e-06,5.3544999900623225e-06,6.612214869308183,4.704372648065566,0
284,1075,338.3387,16.4893,0.1377,43.5119,66.9239,1.258,0.4,3.1439999999999997,74.0016,-9999,-9999,RMJ223331.8+162802.4,J223331.8+162802,-35.00844044905532,81.36955314309643,3.756233297735889e-07,7.039010597509332e-06,7.003338662666772,4.941417371313196,0
299,1246,153.4274,19.7522,0.1121,73.4553,64.5264,1.252,0.16,7.825,19.0025,-9999,-9999,RMJ101346.4+194549.8,J101346.4+194550,53.23176612006662,215.8714221509,1.1654424270091113e-06,6.050096999388188e-06,6.715168746559695,4.766768937308906,0
303,1263,348.18800000000005,19.6828,0.1217,38.8608,64.21300000000001,1.247,0.402,3.1010000000000004,73.0037,-9999,-9999,-9999,-9999,-37.43865684935767,93.26270437750263,9.062015351446462e-07,1.1679800991259981e-05,7.668993876606712,5.344844773701038,0
315,1412,339.5864,26.634,0.3177,56.7736,62.3864,1.15,0.12,9.584,69.0041,-9999,-9999,RMJ223818.1+263744.1,J223818.1+263744,-27.433505724354497,89.3897642955341,9.081833809432283e-07,6.168035270093242e-06,7.846623621945211,5.45249916481528,0
318,1424,230.8833,59.8948,0.3613,55.9629,62.2239,1.13,0.3,3.766,37.0016,-9999,-9999,RMJ152346.5+595120.4,J152346.5+595120,48.25664935661192,95.28207194773573,6.753694492545037e-07,3.927034867956536e-06,7.884758457715462,5.47561118649422,0
330,1517,176.1798,67.4025,0.1167,62.8188,61.2737,1.229,0.22899999999999998,5.365,37.0018,RXCJ1144.6+6724,J1144.6+6724,RMJ114436.8+672421.2,J114436.8+672421,48.46664378407163,132.50670084608234,6.515683139696193e-07,4.804676336789271e-06,6.821736554680829,4.831355487685351,0
341,1644,245.9252,26.5728,0.4257,55.6391,59.8547,1.087,0.47,2.313,26.0035,MS1621.5+2640,J1623.5+2634,RMJ162335.5+263414.1,J162335.5+263414,43.021907348950386,45.017121455566915,9.904706530505791e-07,6.301022949628532e-06,6.605352912209468,4.700213886187556,0
346,1685,120.2996,34.8654,0.1569,62.8694,59.411,1.2,0.434,2.767,35.0026,-9999,-9999,RMJ080105.4+344941.0,J080105.4+344941,28.65409983223936,186.06079152567173,5.694453761861951e-07,6.5507165345479734e-06,6.39464406630398,4.572511555335745,0
350,1713,202.1256,15.0935,0.3565,61.6078,59.1934,1.112,0.264,4.208,16.0034,-9999,-9999,RMJ132827.6+150529.5,J132817.2+150709,75.19667911568678,340.4109541309815,1.267668153559498e-06,7.220346105896169e-06,7.006023247532166,4.9430443924437375,0
377,2106,327.0187,22.3054,0.1708,37.583,55.9691,1.167,0.18,6.484,69.0057,-9999,-9999,RMJ214804.3+221744.0,J214804.3+221744,-23.612910919669822,76.5149530728235,7.048998895697878e-07,5.8302557590650395e-06,6.687982568147228,4.750292465543774,0
380,2155,10.1192,29.5469,0.08800000000000001,43.871,55.5884,1.2009999999999998,0.193,6.221,70.0051,ABELL0077,J0040.4+2933,-9999,J004028.3+293322,-33.26415999318981,120.08078086159118,6.998246817602194e-07,5.876549948879983e-06,6.8303579944742685,4.836580602711678,0
382,2164,171.7571,17.1291,0.1307,49.3377,55.5085,1.18,0.2,5.899,17.0045,ABELL1264,J1126.9+1706,RMJ112701.7+170744.8,J112742.8+171802,68.09041344119386,235.70066964994342,9.204806019624812e-07,6.7487271735444665e-06,6.981396047496798,4.9281188166647265,0
385,2243,335.6741,21.0492,0.4801,35.3031,54.9138,1.032,0.13,7.941,71.0044,-9999,-9999,-9999,-9999,-29.86455911204016,82.35704253794306,1.20453807994636e-06,5.568854248849675e-06,6.409935743842786,4.581779238692598,0
387,2262,259.2611,29.5125,0.2765,43.1765,54.7742,1.115,0.35,3.187,33.0028,-9999,-9999,RMJ171704.4+293503.1,J171657.5+293337,32.322090941254324,52.25068589218741,7.554806416010251e-07,6.538683010148816e-06,6.781597918786215,4.807029041688615,0
392,2287,14.097000000000001,8.2537,0.4081,37.1308,54.6122,1.0590000000000002,0.38299999999999995,2.7689999999999997,79.006,-9999,-9999,RMJ005621.6+081610.0,J005621.6+081610,-54.5977243197848,125.04630144513081,9.594199354978628e-07,7.1052604653232265e-06,6.633751972135411,4.717425437657825,0
395,2306,168.1501,-3.1988,0.098,30.7569,54.4773,1.185,0.14,8.466000000000001,9.0056,-9999,-9999,-9999,J111236.4-031241,51.42537440137219,260.91471444311253,1.6855423154993332e-06,6.619073246838525e-06,7.373048834511211,5.165484142128007,0
397,2383,4.9055,8.2807,0.3498,36.3225,54.0276,1.08,0.2,5.398,79.0063,-9999,-9999,RMJ001937.9+081703.2,J001937.9+081703,-53.76161353007849,109.5380952359266,4.946800231664383e-07,6.044334440957755e-06,6.776633902390525,4.804020546903349,0
399,2391,224.3108,22.3642,0.2566,49.6507,53.9933,1.1179999999999999,0.39,2.866,20.0041,ZWCL1454.8+2233,J1457.2+2220,RMJ145715.1+222034.4,J145715.1+222034,61.119178153094175,30.428086302995723,6.069549840503896e-07,6.601148925255984e-06,6.667492146384043,4.737874028111541,0
407,2512,233.4463,3.6023,0.2905,45.7858,53.1908,1.0979999999999999,0.4,2.745,12.0049,-9999,-9999,RMJ153344.1+033657.5,J153344.1+033658,44.683496536126775,8.888657092499908,1.2644684375118231e-06,7.826778528396972e-06,6.487617339861626,4.628858993855531,0
412,2592,201.554,48.8838,0.28,52.5086,52.6908,1.099,0.2,5.492999999999999,30.0046,-9999,-9999,RMJ132615.8+485229.3,J132615.8+485229,67.2273797558348,108.05099189835457,6.901371421008662e-07,4.758088380185654e-06,6.4648601548028335,4.615066760486566,0
418,2662,348.7147,14.1373,0.1667,42.7722,52.2824,1.141,0.25,4.564,76.0031,-9999,-9999,RMJ231449.7+140743.9,J231506.7+141940,-42.54415247278741,90.35848514729379,6.86072610278643e-07,5.8973769228032324e-06,6.60800862083002,4.701823406563649,0
420,2697,182.7394,17.6033,0.3889,48.4593,52.1108,1.05,0.39,2.6889999999999996,17.0064,-9999,-9999,RMJ121052.5+173554.0,J121052.5+173554,76.659320887389,256.39209680121166,7.672666697544628e-07,5.31631667399779e-06,6.404573209299644,4.57852921775736,0
421,2788,330.2869,16.4291,0.3951,34.9582,51.6141,1.044,0.12,8.703,73.008,-9999,-9999,RMJ220108.9+162552.8,J220047.3+162646,-29.978874686350267,74.41707619744002,8.498506645082671e-07,6.539695277751889e-06,6.721091123697317,4.7703582567862535,0
422,2815,235.5227,48.1438,0.2011,40.1573,51.4684,1.121,0.3,3.737,33.0037,-9999,-9999,RMJ154204.5+480527.8,J154204.5+480528,50.92476145678374,77.09298735868562,8.260350341515732e-07,4.9206519179278985e-06,6.39974373596581,4.575602264221703,0
427,2890,245.9532,6.2865,0.2659,35.5452,51.0784,1.093,0.21,5.202000000000001,15.005999999999998,-9999,-9999,RMJ162347.5+061658.6,J162347.5+061659,35.532268126794065,20.533914378401278,8.305030974042893e-07,7.2465600169380195e-06,6.7256394647465845,4.773114827119142,0
430,2940,2.6615,20.7263,0.4108,28.41,50.8119,1.032,0.26,3.969,74.0043,-9999,-9999,RMJ001040.8+204308.5,J001040.8+204309,-41.1372284654592,110.23055942081731,1.1010431535396492e-06,5.89111186855007e-06,7.204228571210637,5.06316883103675,0
435,3088,337.9793,3.8737,0.3104,27.2228,50.1254,1.067,0.46,2.319,80.0055,-9999,-9999,RMJ223150.6+035429.0,J223200.1+035103,-44.2370436236434,70.14858562513517,6.091873956393101e-07,6.571442099811975e-06,6.665511946235807,4.73667390680958,0
436,3107,156.4838,12.7005,0.17300000000000001,28.4639,50.0464,1.121,0.24,4.67,16.0064,ZWCL1023.3+1257,J1025.9+1241,RMJ102551.9+124521.7,J102558.0+124108,53.062127975999836,228.61860817025436,1.7252577890758403e-06,8.966820132627618e-06,7.914571372092391,5.493679619449934,0
438,3147,2.5175,25.8801,0.325,36.4588,49.8721,1.06,0.23,4.607,72.0066,-9999,-9999,RMJ001004.5+255313.8,-9999,-36.064083395243394,111.4060533470214,9.188592571263143e-07,6.214407676452538e-06,6.618095933710684,4.707936929521627,0
448,3337,256.4857,36.9588,0.2773,50.0742,49.1381,1.073,0.2,5.364,34.0051,-9999,-9999,RMJ170600.5+365728.5,J170600.5+365728,36.16209133388075,60.46753168974576,6.003085104566708e-07,5.104070623929147e-06,7.189672967770869,5.054347253194466,0
467,3678,160.268,19.9898,0.4151,32.0371,47.8665,1.008,0.455,2.217,19.0076,-9999,-9999,RMJ104115.7+195826.8,J104115.7+195827,59.378143882332175,219.33325658661306,5.007439085602527e-07,6.698510787828127e-06,6.408382267404771,4.580837737821073,0
471,3888,242.6108,21.999000000000002,0.3663,58.0077,47.2182,1.022,0.109,9.338,23.0063,-9999,-9999,-9999,-9999,44.746120425875056,37.795633455285206,9.304954460276349e-07,1.0307869160897098e-05,9.32511431271103,6.348554128915776,0
472,3899,131.9454,13.5153,0.3469,42.806999999999995,47.1704,1.03,0.479,2.15,19.0081,-9999,-9999,RMJ084742.3+132930.4,J084749.3+133140,31.818244452705542,213.4396755256996,8.765408097133331e-07,6.81463279761374e-06,6.814502631552437,4.826971291849961,0
473,3906,173.8872,31.8897,0.2364,46.6634,47.1486,1.073,0.21,5.1080000000000005,23.0062,-9999,-9999,RMJ113526.9+315332.7,J113526.9+315333,72.8427045387317,192.28054740099995,6.978611963859294e-07,6.36858294456033e-06,7.765711442363558,5.403461480220338,0
477,4053,319.0229,-2.4353,0.4335,34.6133,46.7034,0.993,0.1,9.926,83.0121,-9999,-9999,RMJ211605.1-022547.1,J211605.1-022547,-32.96143299261249,48.91360105049329,9.380558481097978e-07,5.712203346774913e-06,6.431205096005404,4.59466975515479,0
482,4483,11.9599,5.1403,0.4289,34.4019,45.3998,0.9840000000000001,0.15,6.562,80.0098,-9999,-9999,RMJ004750.8+050819.5,J004750.8+050819,-57.719724841314736,121.25411924097527,7.979081146913813e-07,5.6499402489862405e-06,6.639408803292836,4.720853820177477,0
490,4792,109.2972,15.2067,0.4702,29.6411,44.5331,0.961,0.10800000000000001,8.896,31.0077,-9999,-9999,-9999,J071725.6+151345,12.468319864172091,202.06337204363228,1.1968162425546325e-06,6.039719210093608e-06,6.630905781158429,4.715700473429352,0
492,4975,10.975,24.4026,0.0989,31.5844,44.0295,1.0979999999999999,0.4,2.745,72.0104,ZWCL0040.8+2404,J0043.8+2424,RMJ004352.2+242421.4,J004352.2+242421,-38.43707704467733,120.74086722658843,7.531847359132371e-07,7.255253422044916e-06,7.117590016259468,5.01066061591483,0
499,5233,262.9287,70.6383,0.2066,38.4217,43.3437,1.051,0.171,6.16,44.0011,-9999,-9999,-9999,J173148.7+703713,32.057916041453375,101.3549292128966,6.449968736887968e-07,3.663501047412865e-06,6.986324361250361,4.931105673485067,0
501,5278,128.3226,34.2984,0.4687,31.4379,43.2419,0.9520000000000001,0.11,8.657,31.0088,-9999,-9999,RMJ083313.8+341750.9,J083335.0+342059,34.96293640686713,188.45436033264895,5.074977593721997e-07,5.889657131774584e-06,6.7295317544079,4.775473790550243,0
503,5418,255.4567,63.0174,0.3542,23.3461,42.8883,0.992,0.99,1.002,42.001000000000005,-9999,-9999,-9999,-9999,36.3129905458986,92.93912077814458,5.444310886559833e-07,3.5180544273316627e-06,7.837430194907217,5.446927390852859,0
505,5468,257.5645,14.7717,0.2028,46.1421,42.7559,1.0490000000000002,0.82,1.2790000000000001,23.0088,-9999,-9999,-9999,-9999,28.94475012827248,35.45519561836379,9.260190836357651e-07,1.427542792953318e-05,14.139880734642418,9.26659438463177,0
514,6007,350.2032,-6.8177,0.4517,29.6556,41.6356,0.946,0.1,9.462,85.0136,-9999,-9999,RMJ232050.0-064903.4,J232054.6-064741,-60.415941435903555,72.15246788490985,7.04671492712805e-07,5.631946351059014e-06,7.187880932401352,5.053261171152335,0
519,6237,24.379,-0.17,0.3439,58.2769,41.1569,0.978,0.31,3.1489999999999996,82.0208,-9999,-9999,RMJ013728.0-000933.4,J013728.0-000933,-60.85734025151177,147.1414999619805,9.87801513474551e-07,7.1845697675598785e-06,6.899580637268373,4.878533719556589,0
529,6854,184.4333,3.6046,0.0772,54.333999999999996,39.9757,1.064,0.36200000000000004,2.943,11.0116,ZWCL1215.1+0400,J1217.6+0339,-9999,J121741.1+033921,65.1358670850517,282.5781877663422,9.770067208592081e-07,2.088263318000827e-05,16.73214162995019,10.837661593909205,0
535,7097,17.1099,4.1215,0.2734,37.8568,39.5451,0.9940000000000001,0.28,3.55,80.0169,-9999,-9999,RMJ010826.4+040912.6,J010826.4+040913,-58.481636098296256,131.06125985859828,7.924264764369582e-07,7.018928954494186e-06,6.491955108649423,4.631487944636015,0
542,7742,346.3203,28.0381,0.3816,19.2321,38.4309,0.9440000000000001,0.29,3.2560000000000002,69.0174,-9999,-9999,-9999,J230520.3+280145,-29.23699233552414,96.06341304047031,8.829133548715618e-07,8.179464202839881e-06,8.830914596646634,6.049039149482809,0
553,8969,350.1625,27.1239,0.4323,23.5557,36.748000000000005,0.9109999999999999,0.19,4.794,70.0189,-9999,-9999,-9999,J232046.8+270336,-31.525432060979174,99.1733134339309,9.756778354130802e-07,5.720026365452213e-06,7.712711278712403,5.371340168916609,0
554,9038,121.0996,46.7853,0.18600000000000003,26.3111,36.6506,0.997,0.16,6.234,38.0116,ABELL0616,J0804.3+4646,RMJ080356.4+464521.3,J080421.3+464713,31.537847068668526,172.66416303336212,1.6383918364226702e-06,6.689538167847786e-06,6.400995857020086,4.576361125466719,0
557,9339,242.0384,60.8005,0.21899999999999997,25.0218,36.2732,0.982,0.09,10.915999999999999,39.0063,-9999,-9999,RMJ160813.4+604742.5,J160813.4+604743,42.98955011352614,92.61982283680155,2.862419705706998e-07,3.8814196159364656e-06,8.637030101952764,5.931533395122887,0
559,9391,264.7045,59.7806,0.4135,27.8017,36.2259,0.914,0.207,4.407,43.001000000000005,-9999,-9999,-9999,J173845.6+594614,32.248420147188405,88.49582278924147,6.409371735571767e-07,3.828360604529735e-06,6.369002751748777,4.556971364696229,0
563,9701,111.0754,34.0465,0.5548,30.848000000000003,35.8648,0.8590000000000001,0.18600000000000003,4.618,38.0129,-9999,-9999,-9999,J072417.3+340109,21.14142393473783,184.48511110083967,7.204954499684391e-07,6.700283847749233e-06,7.043549176626581,4.965787379773686,0
582,11869,325.7314,5.2587,0.2145,19.7649,33.6844,0.958,0.4,2.395,79.0315,-9999,-9999,-9999,-9999,-34.13696348742383,61.08234070444361,1.4010327049618354e-06,1.1113196705991868e-05,11.998757440725225,7.9689439034698335,0
594,13788,56.4037,-0.5569,0.3606,42.626000000000005,32.1106,0.888,0.138,6.457000000000001,83.0396,-9999,-9999,-9999,J034539.5-003328,-40.50414110035068,187.88959138024686,1.0972005384246586e-06,7.263475708896294e-06,6.69113176172812,4.7522010677140125,0
596,14140,177.6573,47.0136,0.2381,34.52,31.8505,0.932,0.068,13.702,29.0251,-9999,-9999,RMJ115038.0+465931.9,J115038.0+465932,66.80075751554647,149.92404310604186,1.2718862762994831e-06,4.985080522601493e-06,6.6641379827306295,4.735841201654927,0
601,14951,257.4106,14.9238,0.1813,16.2702,31.3058,0.943,0.38,2.4819999999999998,24.0296,-9999,-9999,-9999,J170904.7+150316,29.141261724449187,35.54845479352735,9.867906101135304e-07,6.803366431995528e-06,6.6572686843622355,4.7316779905225665,0
605,15913,2.6162,20.5792,0.2737,13.9058,30.6922,0.9059999999999999,0.38,2.385,74.0272,-9999,-9999,-9999,-9999,-41.27215423983218,110.13443460589541,5.81243966735201e-07,8.80364950717194e-06,10.806109698904855,7.246127090245367,0
625,22833,318.0837,7.5815,0.3156,29.7752,27.2284,0.853,0.42,2.031,77.0487,-9999,-9999,-9999,-9999,-26.658837299804443,57.962528682118176,6.30691999958799e-07,7.410661055473611e-06,7.722293055244323,5.377147306208681,0
632,24357,240.9125,59.1974,0.2991,23.3356,26.6551,0.852,0.059000000000000004,14.449000000000002,38.0301,-9999,-9999,RMJ160335.0+591140.8,J160335.0+591141,44.131040514562,90.88307882357579,5.368102620195714e-07,3.3102189718192676e-06,6.958724741413958,4.914378631159975,0
643,30722,120.9837,14.5016,0.5748,30.7639,24.5895,0.743,0.4,1.857,23.0615,-9999,-9999,-9999,J080357.3+142853,22.471078162814123,207.62104969007297,5.099806230646209e-07,6.485632638941752e-06,6.392871053667697,4.571437002222847,0
644,31242,230.9097,59.9333,0.3099,10.0429,24.4498,0.821,0.47,1.7469999999999999,37.0482,-9999,-9999,-9999,-9999,48.22390455012951,95.31839337074857,6.753694492545037e-07,3.3537060062371893e-06,6.699138847993467,4.757053847268768,0
648,32253,243.5589,62.2596,0.266,17.7847,24.1876,0.8370000000000001,0.063,13.305,39.0216,-9999,-9999,-9999,J161412.8+621530,41.75623238925678,94.06068531235763,4.396858059863007e-07,3.1547156140732113e-06,7.412589218393639,5.18944801114766,0
649,33395,343.3503,25.2854,0.3682,8.7162,23.8926,0.7959999999999999,0.29,2.745,70.0656,-9999,-9999,-9999,J225325.7+251602,-30.368903147675578,91.8542307661874,8.873504953044176e-07,4.204975539323641e-06,6.354964912741231,4.548463583479534,0
657,35342,251.9808,41.9494,0.4555,18.9843,23.429000000000002,0.764,0.19,4.023,35.063,-9999,-9999,RMJ164758.0+415731.6,J164758.0+415732,40.12991898561883,66.33147757682485,4.483440534386318e-07,5.688279998139478e-06,6.526472844370401,4.65240778446691,0
659,36776,346.9323,25.0947,0.1278,8.7713,23.1078,0.858,0.41,2.092,71.0635,-9999,-9999,-9999,-9999,-32.104759022693905,95.06371041393851,1.0956715641441406e-06,5.179539130040212e-06,6.292038144206121,4.51032614800371,0
682,51665,235.7235,60.5232,0.2816,10.1106,20.375,0.774,0.19,4.075,38.0652,-9999,-9999,-9999,J154253.6+603124,45.88582153914695,94.18897117904224,4.168954603755992e-07,2.5212714263034286e-06,7.042319867522396,4.965042343952968,0
